accession,species,strain,assembly_level,n_protein,dltA,dltE,dltE_len,dltE_score,dltE_s90,dltE_s110,dltE_s130,mprF_long,mprF_short,localization
GCF_002833115.1,Bifidobacterium longum,APC1472,Contig,1889,0,0,,,0,0,0,0,0,E_no_dlt
GCF_040543485.1,Enterococcus faecalis,Z217-3,Complete Genome,2614,1,1,388,178.7,1,1,1,1,0,A_TM
GCF_006766145.1,Enterococcus faecalis,DM01,Complete Genome,2592,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_003712535.1,Lacticaseibacillus paracasei,FAM18175,Contig,2690,1,1,385,192.0,1,1,1,1,1,A_TM
GCF_002289605.1,Ligilactobacillus salivarius,KLA003,Contig,2216,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_052121395.1,Ligilactobacillus salivarius,LCP19S3_D7,Contig,2080,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002253745.1,Limosilactobacillus reuteri,601l,Scaffold,2074,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_031931415.1,Lactococcus lactis,Y7,Scaffold,2802,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_023299505.1,Enterococcus faecalis,AT40b,Complete Genome,2767,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_048260945.1,Pediococcus acidilactici,RC-UNIPASAAFM00035,Scaffold,2305,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_003346345.1,Leuconostoc mesenteroides subsp. mesenteroides,KMB_611,Contig,2078,1,1,380,134.9,1,1,1,1,1,A_TM
GCF_001703865.1,Limosilactobacillus reuteri,482_46,Scaffold,2144,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_003839805.1,Lactococcus lactis,L81-D1,Scaffold,2534,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_026967275.1,Lacticaseibacillus paracasei,Lpc_yogurt_B3,Contig,2856,1,1,401,198.5,1,1,1,1,1,A_TM
GCF_003475025.1,Bifidobacterium longum,AF35-13AC,Scaffold,1944,0,0,,,0,0,0,0,0,E_no_dlt
GCF_040543505.1,Enterococcus faecalis,Z217-1,Complete Genome,2609,1,1,388,178.7,1,1,1,1,0,A_TM
GCF_031432735.1,Bifidobacterium longum,YMC_19_03_38,Contig,1957,0,0,,,0,0,0,0,0,E_no_dlt
GCF_027673225.1,Lactococcus lactis,AM113-33,Scaffold,2330,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_002092745.1,Leuconostoc mesenteroides subsp. mesenteroides,LN27,Contig,2176,1,1,380,134.9,1,1,1,1,1,A_TM
GCF_015667075.1,Lactococcus lactis,1001287H_170206_A2,Scaffold,2495,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_052065295.1,Ligilactobacillus salivarius,HCP28S3_F5,Contig,2192,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_900638785.1,Enterococcus faecium,-,Complete Genome,2613,1,1,386,135.2,1,1,1,1,0,A_TM
GCF_040092865.1,Bifidobacterium longum,CLA-AP-H19,Contig,1893,0,0,,,0,0,0,0,0,E_no_dlt
GCF_019356355.1,Enterococcus faecium,7150,Complete Genome,2419,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_022810805.1,Enterococcus faecalis,RF_1_1_25_1,Complete Genome,2625,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_026930525.1,Limosilactobacillus fermentum,MC1,Scaffold,1917,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_003346325.1,Limosilactobacillus fermentum,KMB_612,Contig,1835,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002863265.1,Limosilactobacillus fermentum,UMB0187,Scaffold,1882,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_020785215.1,Limosilactobacillus reuteri,21D,Scaffold,1932,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_003465785.1,Bifidobacterium longum,AF03-27,Scaffold,1960,0,0,,,0,0,0,0,0,E_no_dlt
GCF_009809315.1,Pediococcus acidilactici,FAM19154,Contig,1857,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_009809395.1,Pediococcus acidilactici,FAM13473,Contig,1902,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_002092625.1,Leuconostoc mesenteroides subsp. mesenteroides,LN08,Contig,1926,1,1,380,136.3,1,1,1,0,1,A_TM
GCF_002289675.1,Ligilactobacillus salivarius,KLA006,Contig,2328,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_006337045.1,Enterococcus faecium,DB-1,Complete Genome,2564,1,1,386,134.9,1,1,1,1,0,A_TM
GCF_027692645.1,Lacticaseibacillus paracasei,OF39-24pH5A,Scaffold,2924,1,1,385,191.2,1,1,1,1,1,A_TM
GCF_019128495.1,Bifidobacterium longum,MSK.19.23,Contig,2133,0,0,,,0,0,0,0,0,E_no_dlt
GCF_056858115.1,Enterococcus faecalis,PAK6AS,Complete Genome,2738,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_025191625.1,Limosilactobacillus fermentum,CIRM-BIA 2157,Contig,1862,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_003346165.1,Leuconostoc mesenteroides subsp. mesenteroides,KMB_608,Contig,1933,1,1,380,134.3,1,1,1,1,1,A_TM
GCF_052066075.1,Ligilactobacillus salivarius,HCP28S3_C1,Contig,2204,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_036621875.1,Limosilactobacillus reuteri,lp167-67,Scaffold,1929,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_009807745.1,Pediococcus acidilactici,FAM19393,Contig,1946,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_003466075.1,Bifidobacterium longum,AF03-10,Scaffold,1952,0,0,,,0,0,0,0,0,E_no_dlt
GCF_020882095.1,Enterococcus faecalis,E512-TC1,Complete Genome,2562,1,1,388,175.6,1,1,1,1,0,A_TM
GCF_002092705.1,Leuconostoc mesenteroides subsp. mesenteroides,LN32,Contig,1753,1,1,380,136.4,1,1,1,1,1,A_TM
GCF_024329345.1,Lacticaseibacillus paracasei,Kef-w19,Contig,2928,1,1,385,192.1,1,1,1,1,1,A_TM
GCF_002289985.1,Ligilactobacillus salivarius,KLA001,Contig,2213,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002112185.1,Limosilactobacillus reuteri,1366,Scaffold,1976,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_009389005.1,Limosilactobacillus reuteri,PTA6_F8,Scaffold,1903,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_009808025.1,Pediococcus acidilactici,FAM19157,Contig,1819,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_023299785.1,Enterococcus faecalis,AT43a,Complete Genome,2526,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_002092565.1,Leuconostoc mesenteroides subsp. mesenteroides,LN05,Contig,1914,1,1,380,135.6,1,1,1,1,1,A_TM
GCF_039566745.1,Lacticaseibacillus paracasei,Z08,Contig,2783,1,1,385,192.2,1,1,1,1,1,A_TM
GCF_026967205.1,Lacticaseibacillus paracasei,Lpc_yogurt_B4,Contig,2846,1,1,401,198.5,1,1,1,1,1,A_TM
GCF_003839645.1,Lactococcus lactis,L81-E2,Scaffold,2695,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_003437715.1,Bifidobacterium longum,TF06-45A,Scaffold,2158,0,0,,,0,0,0,0,0,E_no_dlt
GCF_027672785.1,Lactococcus lactis,AM113-71,Scaffold,2327,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_022509705.1,Lactococcus lactis,EIP13D,Contig,2588,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_006280355.1,Enterococcus faecium,F17E0263,Complete Genome,2593,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_052065715.1,Ligilactobacillus salivarius,HCP28S3_D7,Contig,2206,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_003408995.2,Enterococcus faecium,KRESVRE0005,Complete Genome,2680,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_007923965.2,Enterococcus faecium,SDGJQ5,Complete Genome,2436,1,1,386,134.9,1,1,1,1,0,A_TM
GCF_053668915.1,Limosilactobacillus fermentum,UMB8697,Scaffold,1686,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_023375465.1,Enterococcus faecalis,661,Complete Genome,2704,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_039566785.1,Limosilactobacillus fermentum,U13,Contig,1869,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_001982185.1,Limosilactobacillus fermentum,RI-508,Scaffold,1828,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_009807735.1,Pediococcus acidilactici,FAM20557,Scaffold,1933,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_002128755.1,Limosilactobacillus reuteri,KLR2006,Contig,1788,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_009809345.1,Pediococcus acidilactici,FAM19879,Contig,1772,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_001703855.1,Limosilactobacillus reuteri,480_44,Scaffold,2125,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_026967295.1,Lacticaseibacillus paracasei,Lpc_yogurt_B2,Contig,2835,1,1,401,198.5,1,1,1,1,1,A_TM
GCF_006351785.1,Enterococcus faecium,FB-1,Complete Genome,2558,1,1,386,134.9,1,1,1,1,0,A_TM
GCF_040785095.1,Lacticaseibacillus paracasei,gbc_f,Scaffold,2824,1,1,385,191.5,1,1,1,1,1,A_TM
GCF_003346155.1,Leuconostoc mesenteroides subsp. mesenteroides,KMB_609,Contig,1982,1,1,380,134.3,1,1,1,1,1,A_TM
GCF_031930365.1,Lactococcus lactis,Y71-2,Contig,2693,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_030971365.1,Limosilactobacillus fermentum,DRD-73,Scaffold,1773,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_003468005.1,Bifidobacterium longum,AM42-13AT,Scaffold,1759,0,0,,,0,0,0,0,0,E_no_dlt
GCF_033659305.1,Bifidobacterium longum,YGMCC697,Contig,1855,0,0,,,0,0,0,0,0,E_no_dlt
GCF_018517185.1,Enterococcus faecium,18-042,Complete Genome,2387,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_009808595.1,Pediococcus acidilactici,FAM20580,Contig,1840,1,1,382,168.3,1,1,1,0,1,B_SP
GCF_009809305.1,Pediococcus acidilactici,FAM20547,Contig,1940,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_052065935.1,Ligilactobacillus salivarius,HCP28S3_C6,Contig,2260,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_018398375.1,Limosilactobacillus fermentum,ATCC 23271,Contig,2156,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_020882055.1,Enterococcus faecalis,E512-TC2,Complete Genome,2581,1,1,388,175.6,1,1,1,1,0,A_TM
GCF_000309665.1,Lacticaseibacillus paracasei,M36,Contig,2855,1,1,366,191.3,1,1,1,1,1,C_CYTO
GCF_030064715.1,Enterococcus faecalis,AFL-109F,Complete Genome,2728,1,1,388,179.7,1,1,1,1,0,A_TM
GCF_039757195.1,Lactococcus lactis,1001287st2_A2_1001287H_170206,Scaffold,2491,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_009649595.1,Limosilactobacillus reuteri,AD23,Contig,1883,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_049805475.1,Leuconostoc mesenteroides subsp. dextranicum,KS279,Contig,1982,1,1,380,134.3,1,1,1,1,1,A_TM
GCF_003175015.1,Limosilactobacillus reuteri,LR2,Scaffold,2396,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_028335265.1,Enterococcus faecium,R186-2,Complete Genome,2582,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_049805515.1,Leuconostoc mesenteroides subsp. dextranicum,KS276,Contig,1993,1,1,380,134.3,1,1,1,1,1,A_TM
GCF_002075875.1,Bifidobacterium longum,1898B,Contig,1985,0,0,,,0,0,0,0,0,E_no_dlt
GCF_002092775.1,Leuconostoc mesenteroides subsp. mesenteroides,LN34,Contig,1778,1,1,380,136.4,1,1,1,1,1,A_TM
GCF_003438385.1,Bifidobacterium longum,OM05-2BH,Scaffold,2029,0,0,,,0,0,0,0,0,E_no_dlt
GCF_003839605.1,Lactococcus lactis,517-C6,Scaffold,2270,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_002289735.1,Ligilactobacillus salivarius,KLF004,Contig,2078,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002289865.1,Ligilactobacillus salivarius,KLW006,Contig,1933,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_052066015.1,Ligilactobacillus salivarius,HCP28S3_C3,Contig,2243,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_025185825.1,Limosilactobacillus fermentum,998,Contig,1916,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_028335725.1,Enterococcus faecalis,K191-1,Complete Genome,2705,1,1,388,179.7,1,1,1,1,0,A_TM
GCF_032681005.1,Enterococcus faecalis,ES-3222,Complete Genome,2549,1,1,388,180.4,1,1,1,1,0,A_TM
GCF_030020595.1,Enterococcus faecalis,EfsC49,Complete Genome,2630,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_009808225.1,Pediococcus acidilactici,FAM19701,Scaffold,1764,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_007280535.1,Limosilactobacillus reuteri,BIO5454,Scaffold,1893,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_009389365.1,Limosilactobacillus reuteri,PTA1_F3,Scaffold,1911,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002128495.1,Limosilactobacillus reuteri,KLR2001,Contig,2059,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_024329325.1,Lacticaseibacillus paracasei,Kef-w20,Contig,3266,1,1,385,192.1,1,1,1,1,1,A_TM
GCF_049805495.1,Leuconostoc mesenteroides subsp. dextranicum,KS277,Contig,1921,1,1,380,134.3,1,1,1,1,1,A_TM
GCF_030269065.1,Leuconostoc mesenteroides subsp. dextranicum,NBRC 3349,Scaffold,1866,1,1,380,134.9,1,1,1,1,1,A_TM
GCF_031930705.1,Lactococcus lactis,Y50,Scaffold,2617,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_033344625.1,Bifidobacterium longum,YGMCC0018,Scaffold,1872,0,0,,,0,0,0,0,0,E_no_dlt
GCF_900157095.1,Bifidobacterium longum,-,Contig,1869,0,0,,,0,0,0,0,0,E_no_dlt
GCF_059815865.1,Enterococcus faecium,EFA_10_full,Complete Genome,2683,1,1,386,129.9,1,1,0,1,0,A_TM
GCF_052065735.1,Ligilactobacillus salivarius,HCP28S3_D5,Contig,2242,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002289685.1,Ligilactobacillus salivarius,KLF003,Contig,2181,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_021278125.1,Limosilactobacillus fermentum,LAB1,Contig,1910,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_057379185.1,Lacticaseibacillus paracasei,UNCP-H3M17,Contig,2809,1,1,385,192.2,1,1,1,1,1,A_TM
GCF_024329605.1,Lacticaseibacillus paracasei,Kef-w7,Contig,2809,1,1,385,192.1,1,1,1,1,1,A_TM
GCF_009808355.1,Pediococcus acidilactici,FAM19324,Contig,1899,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_031930945.1,Lactococcus lactis,Y44-2,Contig,2690,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_046591595.1,Lactococcus lactis,TATVAM-FAB84,Contig,2574,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_005049135.1,Lacticaseibacillus paracasei,S49,Contig,2841,1,1,385,193.0,1,1,1,1,1,A_TM
GCF_023299745.1,Enterococcus faecium,AT44,Complete Genome,2558,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_059815875.1,Enterococcus faecium,EFA_9_full,Complete Genome,2605,1,1,386,132.8,1,1,1,1,0,A_TM
GCF_003841385.1,Lactococcus lactis,L62-C9,Scaffold,2693,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_053471045.1,Limosilactobacillus fermentum,Lf7,Contig,1915,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_028335625.1,Enterococcus faecium,K80-15b,Complete Genome,2606,1,1,386,135.2,1,1,1,1,0,A_TM
GCF_009809715.1,Pediococcus acidilactici,FAM13881,Contig,1874,1,1,382,172.8,1,1,1,0,1,B_SP
GCF_030020515.1,Enterococcus faecalis,EfsC108,Complete Genome,2525,1,1,388,177.9,1,1,1,1,0,A_TM
GCF_002159305.1,Limosilactobacillus reuteri,An71,Contig,2193,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_001184265.1,Leuconostoc mesenteroides subsp. cremoris,LbT16,Contig,1824,1,1,380,135.6,1,1,1,1,1,A_TM
GCF_001184245.1,Leuconostoc mesenteroides subsp. dextranicum,LbE15,Contig,1989,1,1,380,134.0,1,1,1,1,1,A_TM
GCF_978042535.1,Limosilactobacillus fermentum,-,Contig,2040,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_025122575.1,Limosilactobacillus fermentum,CIRM-BIA 2220,Contig,1867,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_015670475.1,Bifidobacterium longum,1001283B150225_161107_D10,Scaffold,1844,0,0,,,0,0,0,0,0,E_no_dlt
GCF_009808535.1,Pediococcus acidilactici,FAM20553,Contig,1878,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_009809545.1,Pediococcus acidilactici,FAM22262,Contig,1874,1,1,382,179.0,1,1,1,0,1,B_SP
GCF_033658605.1,Bifidobacterium longum,YGMCC0406,Contig,1847,0,0,,,0,0,0,0,0,E_no_dlt
GCF_021531535.1,Ligilactobacillus salivarius,An879,Contig,2061,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_041679805.1,Lacticaseibacillus paracasei,APY,Contig,2813,1,1,401,198.5,1,1,1,1,1,A_TM
GCF_025190685.1,Lacticaseibacillus paracasei,CIRM-BIA 1445,Contig,2984,1,1,385,190.6,1,1,1,1,1,A_TM
GCF_052065795.1,Ligilactobacillus salivarius,HCP28S3_D12,Contig,2248,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_023299225.1,Enterococcus faecalis,AT49a,Complete Genome,2598,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_031930865.1,Lactococcus lactis,Y45-1,Contig,2699,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_031931165.1,Lactococcus lactis,Y37,Scaffold,2879,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_023299605.1,Enterococcus faecalis,AT46a,Complete Genome,2599,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_001703885.1,Limosilactobacillus reuteri,482_54,Scaffold,2129,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_018516925.1,Enterococcus faecium,18-276,Complete Genome,2614,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_978042565.1,Limosilactobacillus reuteri,-,Contig,1852,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_028335565.1,Enterococcus faecium,K75-1,Complete Genome,2548,1,1,386,135.2,1,1,1,1,0,A_TM
GCF_002092425.1,Leuconostoc mesenteroides subsp. cremoris,LMGCF17,Contig,1520,1,1,380,134.8,1,1,1,0,1,A_TM
GCF_945190275.1,Limosilactobacillus fermentum,-,Contig,1969,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_037966785.1,Limosilactobacillus fermentum,ATA-LTC-Lf170503,Scaffold,2027,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002092315.1,Leuconostoc mesenteroides subsp. cremoris,LMGCF11,Contig,1583,1,1,380,134.8,1,1,1,0,1,A_TM
GCF_003473205.1,Bifidobacterium longum,AM11-5,Scaffold,1902,0,0,,,0,0,0,0,0,E_no_dlt
GCF_050846675.1,Pediococcus acidilactici,PT22,Scaffold,1901,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_015070925.1,Ligilactobacillus salivarius,160,Scaffold,2081,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_019731735.1,Bifidobacterium longum,K39,Scaffold,1885,0,0,,,0,0,0,0,0,E_no_dlt
GCF_002289875.1,Ligilactobacillus salivarius,KLW007,Contig,1860,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_036281375.1,Lacticaseibacillus paracasei,CUL07A,Contig,2986,1,1,385,191.5,1,1,1,1,1,A_TM
GCF_009809915.1,Pediococcus acidilactici,FAM20551,Contig,1871,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_025958625.1,Enterococcus faecalis,BE25,Complete Genome,2537,1,1,388,178.5,1,1,1,1,0,A_TM
GCF_050847125.1,Enterococcus faecalis,SD2,Complete Genome,2523,1,1,388,176.4,1,1,1,1,0,A_TM
GCF_020784945.1,Limosilactobacillus reuteri,6C,Scaffold,1731,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_023743835.1,Lactococcus lactis,DRD-85,Scaffold,2319,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_057377445.1,Lacticaseibacillus paracasei,UNCP-H6M14,Contig,2802,1,1,385,192.2,1,1,1,1,1,A_TM
GCF_009389115.1,Limosilactobacillus reuteri,PTA6_C2,Scaffold,1939,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_900639585.1,Enterococcus faecium,-,Complete Genome,2654,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_002092335.1,Leuconostoc mesenteroides subsp. cremoris,LMGCF14,Contig,1522,1,1,380,134.8,1,1,1,0,1,A_TM
GCF_029664345.1,Lactococcus lactis,826,Contig,2585,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_002092455.1,Leuconostoc mesenteroides subsp. cremoris,LMGCF20,Contig,1529,1,1,380,134.8,1,1,1,0,1,A_TM
GCF_025191565.1,Limosilactobacillus fermentum,CIRM-BIA 2152,Contig,2135,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_019041635.1,Bifidobacterium longum,MSK.8.2,Contig,1905,0,0,,,0,0,0,0,0,E_no_dlt
GCF_028335605.1,Enterococcus faecium,K189-3,Complete Genome,2549,1,1,386,135.2,1,1,1,1,0,A_TM
GCF_019041945.1,Bifidobacterium longum,MSK.7.30,Contig,1900,0,0,,,0,0,0,0,0,E_no_dlt
GCF_015070845.1,Ligilactobacillus salivarius,144,Scaffold,2252,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002289725.1,Ligilactobacillus salivarius,KLF005,Contig,2068,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_025185985.1,Limosilactobacillus fermentum,790,Contig,1977,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_051371205.1,Pediococcus acidilactici,HC830,Scaffold,2078,1,1,382,167.8,1,1,1,0,1,B_SP
GCF_027670205.1,Lacticaseibacillus paracasei,AM33-7BH,Scaffold,2813,1,1,385,191.5,1,1,1,1,1,A_TM
GCF_050353495.1,Lactococcus lactis,FV1-202,Contig,2595,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_017357805.1,Enterococcus faecalis,BFF1B1,Complete Genome,2575,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_020784205.1,Limosilactobacillus reuteri,AG_2_7_1,Scaffold,1749,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_051294835.1,Enterococcus faecalis,GW,Complete Genome,2737,1,1,388,178.7,1,1,1,1,0,A_TM
GCF_012045365.1,Enterococcus faecium,BIOPOP-3 ALE,Complete Genome,2520,1,1,386,133.2,1,1,1,1,0,A_TM
GCF_009808625.1,Pediococcus acidilactici,FAM19882,Scaffold,1836,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_002092245.1,Leuconostoc mesenteroides subsp. cremoris,LMGCF10,Contig,1515,1,1,380,134.8,1,1,1,0,1,A_TM
GCF_002128615.1,Limosilactobacillus reuteri,KLR3002,Contig,1906,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_053471025.1,Limosilactobacillus fermentum,Lf8,Contig,1934,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_030540905.1,Lacticaseibacillus paracasei,11w,Scaffold,2928,1,1,401,198.8,1,1,1,1,1,A_TM
GCF_030876795.1,Bifidobacterium longum,B12,Contig,1890,0,0,,,0,0,0,0,0,E_no_dlt
GCF_002092135.1,Leuconostoc mesenteroides subsp. cremoris,LMGCF02,Contig,1658,1,1,380,134.8,1,1,1,0,1,A_TM
GCF_009809275.1,Pediococcus acidilactici,FAM20552,Contig,1883,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_030360765.1,Lactococcus lactis,TOM.307,Contig,2274,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_050312775.1,Ligilactobacillus salivarius,SGI.255,Contig,1936,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_978042465.1,Lacticaseibacillus paracasei,-,Contig,2857,1,1,385,191.5,1,1,1,1,1,A_TM
GCF_029606345.1,Limosilactobacillus fermentum,FS-10,Scaffold,1708,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_900639745.1,Enterococcus faecium,-,Complete Genome,2636,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_003464805.1,Bifidobacterium longum,AF13-41,Scaffold,1866,0,0,,,0,0,0,0,0,E_no_dlt
GCF_006146065.1,Lactococcus lactis,FS2,Contig,2454,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_009807755.1,Pediococcus acidilactici,FAM22261,Contig,1874,1,1,382,179.0,1,1,1,0,1,B_SP
GCF_016902115.1,Ligilactobacillus salivarius,An453,Contig,1746,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_040586835.1,Enterococcus faecalis,19CA02SA02,Complete Genome,2599,1,1,388,179.7,1,1,1,1,0,A_TM
GCF_054031595.1,Lacticaseibacillus paracasei,134,Contig,2661,1,1,385,192.1,1,1,1,1,0,A_TM
GCF_052084585.1,Enterococcus faecalis,EFSMS98,Complete Genome,2547,1,1,388,175.7,1,1,1,1,0,A_TM
GCF_002092105.1,Leuconostoc mesenteroides subsp. cremoris,LMGCF09,Contig,1523,1,1,380,134.8,1,1,1,0,1,A_TM
GCF_003174945.1,Limosilactobacillus reuteri,LR13,Scaffold,2382,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_003174955.1,Limosilactobacillus reuteri,LR14,Scaffold,2264,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_018517065.1,Enterococcus faecium,17-318,Complete Genome,2626,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_003465365.1,Bifidobacterium longum,AF13-34,Scaffold,1865,0,0,,,0,0,0,0,0,E_no_dlt
GCF_900639655.1,Enterococcus faecium,-,Complete Genome,2584,1,1,386,136.6,1,1,1,1,0,A_TM
GCF_031930765.1,Lactococcus lactis,Y46-1,Scaffold,2839,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_058374235.1,Limosilactobacillus fermentum,LF-G89,Contig,1916,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_027674565.1,Ligilactobacillus salivarius,AM110-97,Scaffold,1850,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_030939615.1,Limosilactobacillus fermentum,N 4-5,Contig,1845,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002092495.1,Leuconostoc mesenteroides subsp. cremoris,LMGCF18,Contig,1522,1,1,380,134.8,1,1,1,0,1,A_TM
GCF_009808715.1,Pediococcus acidilactici,FAM17419c1,Contig,1752,1,1,382,173.1,1,1,1,0,1,B_SP
GCF_009808335.1,Pediococcus acidilactici,FAM20561,Scaffold,1969,1,1,382,178.2,1,1,1,0,1,B_SP
GCF_029723585.1,Bifidobacterium longum,LH_1019,Contig,1880,0,0,,,0,0,0,0,0,E_no_dlt
GCF_004332035.1,Enterococcus faecalis,CVM N60443F,Complete Genome,2556,1,1,388,179.7,1,1,1,1,0,A_TM
